LocusTag	GeneID	Symbol	Description
YJR045C	853503	SSC1	Mitochondrial matrix ATPase, subunit of the presequence translocase-associated protein import motor (PAM) and of SceI endonuclease; involved in protein folding and translocation into the matrix; phosphorylated; member of HSP70 family
YJR046W	853504	TAH11	DNA replication licensing factor, required for pre-replication complex assembly
TS(AGA)J	853505	TS(AGA)J	tRNA
YJR047C	853506	ANB1	Anb1p
YJR048W	853507	CYC1	Cyc1p
YJR049C	853508	UTR1	ATP-NADH kinase; phosphorylates both NAD and NADH; active as a hexamer; enhances the activity of ferric reductase (Fre1p)
YJR050W	853509	ISY1	Component of the spliceosome complex involved in pre-mRNA splicing, auxiliary splicing factor that may modulate Syf1p activity and help optimize splicing; isy1 syf2 double mutation activates the spindle checkpoint, causing cell cycle arrest
YJR051W	853510	OSM1	Fumarate reductase, catalyzes the reduction of fumarate to succinate, required for the reoxidation of intracellular NADH under anaerobic conditions; mutations cause osmotic sensitivity
TG(GCC)J2	853511	TG(GCC)J2	tRNA
YJR052W	853512	RAD7	Protein that recognizes and binds damaged DNA in an ATP-dependent manner (with Rad16p) during nucleotide excision repair; subunit of Nucleotide Excision Repair Factor 4 (NEF4) and the Elongin-Cullin-Socs (ECS) ligase complex
YJR053W	853513	BFA1	Bfa1p
YJR054W	853514	YJR054W	Vacuolar protein of unknown function; potential Cdc28p substrate
TR(CCU)J	853515	HSX1	tRNA
YJR055W	853516	HIT1	Hit1p
TD(GUC)J4	853517	TD(GUC)J4	tRNA
YJR056C	853518	YJR056C	Yjr056cp
TY(GUA)J2	853519	SUP4	tRNA
YJR057W	853520	CDC8	Cdc8p
YJR058C	853521	APS2	Aps2p
YJR059W	853522	PTK2	Ptk2p
YJR060W	853523	CBF1	Cbf1p
YJR061W	853524	YJR061W	Putative protein of unknown function; non-essential gene with similarity to Mnn4, a putative membrane protein involved in glycosylation; transcription repressed by Rm101p
YJR062C	853525	NTA1	Amidase, removes the amide group from N-terminal asparagine and glutamine residues to generate proteins with N-terminal aspartate and glutamate residues that are targets of ubiquitin-mediated degradation
YJR063W	853526	RPA12	RNA polymerase I subunit A12.2; contains two zinc binding domains, and the N terminal domain is responsible for anchoring to the RNA pol I complex
YJR064W	853527	CCT5	Cct5p
YJR065C	853528	ARP3	Arp3p
YJR066W	853529	TOR1	PIK-related protein kinase and rapamycin target; subunit of TORC1, a complex that controls growth in response to nutrients by regulating translation, transcription, ribosome biogenesis, nutrient transport and autophagy; involved in meiosis
YJR067C	853530	YAE1	Essential protein of unknown function
YJR068W	853531	RFC2	Rfc2p
YJR069C	853532	HAM1	Conserved protein with deoxyribonucleoside triphosphate pyrophosphohydrolase activity, mediates exclusion of noncanonical purines from deoxyribonucleoside triphosphate pools; mutant is sensitive to the base analog 6-N-hydroxylaminopurine
YJR070C	853534	LIA1	Deoxyhypusine hydroxylase, a HEAT-repeat containing metalloenzyme that catalyses hypusine formation; binds to and is required for the modification of Hyp2p (eIF5A); complements S. pombe mmd1 mutants defective in mitochondrial positioning
YJR072C	853535	NPA3	Essential, conserved, cytoplasmic ATPase; phosphorylated by the Pcl1p-Pho85p kinase complex
YJR073C	853536	OPI3	Opi3p
YJR074W	853537	MOG1	Conserved nuclear protein that interacts with GTP-Gsp1p, which is a Ran homolog of the Ras GTPase family, and stimulates nucleotide release, involved in nuclear protein import, nucleotide release is inhibited by Yrb1p
YJR075W	853538	HOC1	Alpha-1,6-mannosyltransferase involved in cell wall mannan biosynthesis; subunit of a Golgi-localized complex that also contains Anp1p, Mnn9p, Mnn11p, and Mnn10p; identified as a suppressor of a cell lysis sensitive pkc1-371 allele
YJR076C	853539	CDC11	Cdc11p
YJR077C	853540	MIR1	Mir1p
YJR078W	853541	BNA2	Bna2p
YJR079W	853542	YJR079W	Putative protein of unknown function; mutation results in impaired mitochondrial respiration
YJR080C	853543	AIM24	Aim24p
YJR082C	853544	EAF6	Eaf6p
YJR083C	853545	ACF4	Acf4p
YJR084W	853546	CSN12	Csn12p
YJR085C	853547	YJR085C	Putative protein of unknown function; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YJR086W	853548	STE18	G protein gamma subunit, forms a dimer with Ste4p to activate the mating signaling pathway, forms a heterotrimer with Gpa1p and Ste4p to dampen signaling; C-terminus is palmitoylated and farnesylated, which are required for normal signaling
YJR088C	853550	YJR088C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum
YJR089W	853551	BIR1	Bir1p
YJR090C	853552	GRR1	F-box protein component of the SCF ubiquitin-ligase complex; involved in carbon catabolite repression, glucose-dependent divalent cation transport, high-affinity glucose transport, morphogenesis, and sulfite detoxification
YJR091C	853553	JSN1	Jsn1p
YJR092W	853554	BUD4	Bud4p
YJR093C	853555	FIP1	Fip1p
YJR094C	853556	IME1	Ime1p
YJR094W-A	853557	RPL43B	Protein component of the large (60S) ribosomal subunit, identical to Rpl43Ap and has similarity to rat L37a ribosomal protein
YJR095W	853558	SFC1	Mitochondrial succinate-fumarate transporter, transports succinate into and fumarate out of the mitochondrion; required for ethanol and acetate utilization
YJR096W	853559	YJR096W	Putative xylose and arabinose reductase; member of the aldo-keto reductase (AKR) family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS
YJR097W	853560	JJJ3	Jjj3p
YJR098C	853561	YJR098C	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YJR099W	853562	YUH1	Ubiquitin C-terminal hydrolase that cleaves ubiquitin-protein fusions to generate monomeric ubiquitin; hydrolyzes the peptide bond at the C-terminus of ubiquitin; also the major processing enzyme for the ubiquitin-like protein Rub1p
YJR100C	853563	AIM25	Aim25p
TL(UAG)J	853564	TL(UAG)J	tRNA
YJR101W	853565	RSM26	Mitochondrial ribosomal protein of the small subunit
YJR102C	853566	VPS25	Component of the ESCRT-II complex, which is involved in ubiquitin-dependent sorting of proteins into the endosome
YJR103W	853567	URA8	Minor CTP synthase isozyme (see also URA7), catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis
YJR104C	853568	SOD1	Cytosolic superoxide dismutase; some mutations are analogous to those that cause ALS (amyotrophic lateral sclerosis) in humans
YJR105W	853569	ADO1	Adenosine kinase, required for the utilization of S-adenosylmethionine (AdoMet); may be involved in recycling adenosine produced through the methyl cycle
YJR106W	853570	ECM27	Ecm27p
YJR107W	853571	YJR107W	Putative protein of unknown function; has sequence or structural similarity to lipases
YJR108W	853572	ABM1	Abm1p
YJR109C	853573	CPA2	Cpa2p
YJR110W	853574	YMR1	Phosphatidylinositol 3-phosphate [PI(3)P] phosphatase, regulates the localization and levels of PI(3)P; involved in cytoplasm to vacuole (CVT) transport; has similarity to the conserved myotubularin dual specificity phosphatase family
YJR111C	853575	YJR111C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondria
YJR112W	853576	NNF1	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; required for accurate chromosome segregation
YJR113C	853578	RSM7	Mitochondrial ribosomal protein of the small subunit, has similarity to E. coli S7 ribosomal protein
YJR115W	853579	YJR115W	Putative protein of unknown function
YJR116W	853580	YJR116W	Putative protein of unknown function
YJR117W	853581	STE24	Highly conserved zinc metalloprotease that functions in two steps of a-factor maturation, C-terminal CAAX proteolysis and the first step of N-terminal proteolytic processing; contains multiple transmembrane spans
YJR118C	853582	ILM1	Ilm1p
YJR119C	853583	JHD2	Jhd2p
YJR120W	853584	YJR120W	Protein of unknown function; essential for growth under anaerobic conditions; mutation causes decreased expression of ATP2, impaired respiration, defective sterol uptake, and altered levels/localization of ABC transporters Aus1p and Pdr11p
YJR121W	853585	ATP2	Atp2p
YJR122W	853586	IBA57	Iba57p
YJR123W	853587	RPS5	Protein component of the small (40S) ribosomal subunit, the least basic of the non-acidic ribosomal proteins; phosphorylated in vivo; essential for viability; has similarity to E. coli S7 and rat S5 ribosomal proteins
YJR124C	853588	YJR124C	Putative protein of unknown function; expression induced under calcium shortage
YJR125C	853589	ENT3	Ent3p
YJR126C	853590	VPS70	Protein of unknown function involved in vacuolar protein sorting
YJR127C	853592	RSF2	Rsf2p
YJR129C	853593	YJR129C	Putative protein of unknown function; predicted S-adenosylmethionine-dependent methyltransferase of the seven beta-strand family; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
YJR130C	853594	STR2	Cystathionine gamma-synthase, converts cysteine into cystathionine
YJR131W	853595	MNS1	Alpha-1,2-mannosidase involved in ER quality control; catalyzes the removal of one mannose residue from Man9GlcNAc to produce a single isomer of Man8GlcNAc in N-linked oligosaccharide biosynthesis; integral to ER membrane
YJR132W	853596	NMD5	Karyopherin, a carrier protein involved in nuclear import of proteins; importin beta homolog
YJR133W	853597	XPT1	Xanthine-guanine phosphoribosyl transferase, required for xanthine utilization and for optimal utilization of guanine
YJR134C	853598	SGM1	Protein of unknown function, required for wild-type growth rate on galactose and mannose; localizes to COPI coated vesicles and the Golgi apparatus
YJR135C	853599	MCM22	Mcm22p
YJR135W-A	853600	TIM8	Mitochondrial intermembrane space protein mediating import and insertion of polytopic inner membrane proteins; homolog of human DDP1 (deafness dystonia peptide 1) which is mutated in the X-linked Mohr-Tranebjaerg syndrome
YJR136C	853601	YJR136C	Putative protein of unknown function; may interact with mitochondrial ribosomal protein Rsm23p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
YJR137C	853602	ECM17	Ecm17p
YJR138W	853603	IML1	Iml1p
YJR139C	853604	HOM6	Hom6p
YJR140C	853605	HIR3	Hir3p
YJR141W	853606	YJR141W	Putative protein of unknown function; may be involved in mRNA processing; YJR141W is an essential gene
YJR142W	853607	YJR142W	Putative protein of unknown function; GST fusion protein is a Dbf2-Mob1 phosphoylation target in a proteome chip analysis; synthetic lethal with PH085 deletion
YJR143C	853608	PMT4	Pmt4p
YJR144W	853609	MGM101	Mgm101p
YJR145C	853610	RPS4A	Protein component of the small (40S) ribosomal subunit; mutation affects 20S pre-rRNA processing; identical to Rps4Bp and has similarity to rat S4 ribosomal protein
YJR147W	853612	HMS2	Hms2p
YJR148W	853613	BAT2	Bat2p
YJR149W	853614	YJR149W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
YJR150C	853615	DAN1	Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth
YJR151C	853616	DAN4	Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth
YJR152W	853617	DAL5	Allantoin permease; ureidosuccinate permease; expression is constitutive but sensitive to nitrogen catabolite repression
YJR153W	853618	PGU1	Endo-polygalacturonase, pectolytic enzyme that hydrolyzes the alpha-1,4-glycosidic bonds in the rhamnogalacturonan chains in pectins
YJR154W	853619	YJR154W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
YJR155W	853620	AAD10	Aad10p
YJR156C	853621	THI11	Protein involved in synthesis of the thiamine precursor hydroxymethylpyrimidine (HMP); member of a subtelomeric gene family including THI5, THI11, THI12, and THI13
YJR158W	853623	HXT16	Hxt16p
YJR159W	853624	SOR1	Sor1p
YJR160C	853625	MPH3	Alpha-glucoside permease, transports maltose, maltotriose, alpha-methylglucoside, and turanose; identical to Mph2p; encoded in a subtelomeric position in a region likely to have undergone duplication
YJR161C	853626	COS5	Cos5p
YKL207W	853628	LRC3	Lrc3p
YKL206C	853629	ADD66	Add66p
YKL205W	853630	LOS1	Los1p
YKL204W	853631	EAP1	Eap1p
YKL203C	853632	TOR2	PIK-related protein kinase and rapamycin target; subunit of TORC1, a complex that regulates growth in response to nutrients and TORC2, a complex that regulates cell-cycle dependent polarization of the actin cytoskeleton; involved in meiosis
YKL201C	853634	MNN4	Mnn4p
YKL198C	853635	PTK1	Ptk1p
YKL197C	853636	PEX1	AAA-peroxin that heterodimerizes with AAA-peroxin Pex6p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol; induced by oleic acid and upregulated during anaerobiosis
TN(GUU)K	853637	TN(GUU)K	tRNA
YKL196C	853638	YKT6	Vesicle membrane protein (v-SNARE) with acyltransferase activity; involved in trafficking to and within the Golgi, endocytic trafficking to the vacuole, and vacuolar fusion; membrane localization due to prenylation at the carboxy-terminus
YKL195W	853639	MIA40	Essential protein of the mitochondrial intermembrane space (IMS); promotes retention of newly imported proteins; may do so by stabilizing client protein folding as part of a disulfide relay system or transferring metal to client proteins
YKL194C	853640	MST1	Mitochondrial threonyl-tRNA synthetase
YKL193C	853641	SDS22	Conserved nuclear regulatory subunit of Glc7p type 1 protein serine-threonine phosphatase (PP1), functions positively with Glc7p to promote dephosphorylation of nuclear substrates required for chromosome transmission during mitosis
YKL192C	853642	ACP1	Acp1p
YKL191W	853643	DPH2	Dph2p
YKL190W	853644	CNB1	Calcineurin B; the regulatory subunit of calcineurin, a Ca++/calmodulin-regulated type 2B protein phosphatase which regulates Crz1p (a stress-response transcription factor), the other calcineurin subunit is encoded by CNA1 and/or CMP1
TL(UAA)K	853645	TL(UAA)K	tRNA
YKL189W	853646	HYM1	Component of the RAM signaling network that is involved in regulation of Ace2p activity and cellular morphogenesis, interacts with Kic1p and Sog2p, localizes to sites of polarized growth during budding and during the mating response
YKL188C	853647	PXA2	Pxa2p
YKL187C	853648	YKL187C	Putative protein of unknown function; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies
YKL186C	853649	MTR2	Mtr2p
YKL185W	853650	ASH1	Ash1p
YKL184W	853651	SPE1	Ornithine decarboxylase, catalyzes the first step in polyamine biosynthesis; degraded in a proteasome-dependent manner in the presence of excess polyamines
YKL183W	853652	LOT5	Lot5p
YKL182W	853653	FAS1	Beta subunit of fatty acid synthetase, which catalyzes the synthesis of long-chain saturated fatty acids; contains acetyltransacylase, dehydratase, enoyl reductase, malonyl transacylase, and palmitoyl transacylase activities
YKL181W	853654	PRS1	5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, involved in nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes
YKL224C	853656	PAU16	Pau16p
YKL222C	853658	YKL222C	Protein of unknown function that may interact with ribosomes, based on co-purification experiments; similar to transcriptional regulators from the zinc cluster (binuclear cluster) family; null mutant is sensitive to caffeine
YKL221W	853659	MCH2	Mch2p
YKL220C	853660	FRE2	Ferric reductase and cupric reductase, reduces siderophore-bound iron and oxidized copper prior to uptake by transporters; expression induced by low iron levels but not by low copper levels
YKL219W	853661	COS9	Cos9p
YKL218C	853662	SRY1	3-hydroxyaspartate dehydratase, deaminates L-threo-3-hydroxyaspartate to form oxaloacetate and ammonia; required for survival in the presence of hydroxyaspartate
YKL217W	853663	JEN1	Jen1p
YKL216W	853664	URA1	Dihydroorotate dehydrogenase, catalyzes the fourth enzymatic step in the de novo biosynthesis of pyrimidines, converting dihydroorotic acid into orotic acid
YKL215C	853665	YKL215C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
YKL214C	853666	YRA2	Member of the REF (RNA and export factor binding proteins) family; when overexpressed, can substitute for the function of Yra1p in export of poly(A)+ mRNA from the nucleus
YKL213C	853667	DOA1	Doa1p
YKL212W	853668	SAC1	Phosphatidylinositol (PI) phosphatase, involved in hydrolysis of PI 3-phosphate, PI 4-phosphate and PI 3,5-bisphosphate to PI; membrane protein localizes to ER and Golgi; involved in protein trafficking, secretion and inositol metabolism
YKL211C	853669	TRP3	Bifunctional enzyme exhibiting both indole-3-glycerol-phosphate synthase and anthranilate synthase activities, forms multifunctional hetero-oligomeric anthranilate synthase:indole-3-glycerol phosphate synthase enzyme complex with Trp2p
YKL210W	853670	UBA1	Uba1p
YKL209C	853671	STE6	Plasma membrane ATP-binding cassette (ABC) transporter required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells
TT(CGU)K	853672	TRT2	tRNA
YKL208W	853673	CBT1	Cbt1p
YKL180W	853674	RPL17A	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl17Bp and has similarity to E. coli L22 and rat L17 ribosomal proteins; copurifies with the Dam1 complex (aka DASH complex)
YKL179C	853675	COY1	Coy1p
YKL178C	853677	STE3	Receptor for a factor receptor, transcribed in alpha cells and required for mating by alpha cells, couples to MAP kinase cascade to mediate pheromone response; ligand bound receptors are endocytosed and recycled to the plasma membrane; GPCR
YKL176C	853678	LST4	Lst4p
YKL175W	853679	ZRT3	Vacuolar membrane zinc transporter, transports zinc from storage in the vacuole to the cytoplasm when needed; transcription is induced under conditions of zinc deficiency
YKL174C	853680	TPO5	Protein involved in excretion of putrescine and spermidine; putative polyamine transporter in the Golgi or post-Golgi vesicles
YKL173W	853681	SNU114	GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2
YKL172W	853682	EBP2	Ebp2p
YKL171W	853683	YKL171W	Putative protein of unknown function; predicted protein kinase; implicated in proteasome function; epitope-tagged protein localizes to the cytoplasm
YKL170W	853684	MRPL38	Mitochondrial ribosomal protein of the large subunit; appears as two protein spots (YmL34 and YmL38) on two-dimensional SDS gels
YKL168C	853686	KKQ8	Kkq8p
YKL167C	853687	MRP49	Mitochondrial ribosomal protein of the large subunit, not essential for mitochondrial translation
YKL166C	853688	TPK3	Tpk3p
YKL165C	853690	MCD4	Mcd4p
TE(UUC)K	853691	TE(UUC)K	tRNA
YKL164C	853692	PIR1	O-glycosylated protein required for cell wall stability; attached to the cell wall via beta-1,3-glucan; mediates mitochondrial translocation of Apn1p; expression regulated by the cell integrity pathway and by Swi5p during the cell cycle
YKL163W	853693	PIR3	O-glycosylated covalently-bound cell wall protein required for cell wall stability; expression is cell cycle regulated, peaking in M/G1 and also subject to regulation by the cell integrity pathway
YKL162C	853695	YKL162C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion
YKL161C	853696	YKL161C	Protein kinase implicated in the Slt2p mitogen-activated (MAP) kinase signaling pathway; associates with Rlm1p
YKL160W	853697	ELF1	Elf1p
YKL159C	853698	RCN1	Protein involved in calcineurin regulation during calcium signaling; has similarity to H. sapiens DSCR1 which is found in the Down Syndrome candidate region
YKL157W	853699	APE2	Ape2p
YKL156W	853700	RPS27A	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps27Bp and has similarity to rat S27 ribosomal protein
YKL155C	853701	RSM22	Mitochondrial ribosomal protein of the small subunit
YKL154W	853702	SRP102	Signal recognition particle (SRP) receptor beta subunit; involved in SRP-dependent protein targeting; anchors Srp101p to the ER membrane
TR(UCU)K	853703	TR(UCU)K	tRNA
YKL152C	853705	GPM1	Gpm1p
YKL151C	853706	YKL151C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
YKL150W	853707	MCR1	Mcr1p
YKL149C	853708	DBR1	Dbr1p
YKL148C	853709	SDH1	Flavoprotein subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone
YKL146W	853710	AVT3	Avt3p
YKL145W	853712	RPT1	One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; required for optimal CDC20 transcription; interacts with Rpn12p and the E3 ubiquitin-protein ligase Ubr1p
YKL144C	853713	RPC25	RNA polymerase III subunit C25
YKL143W	853714	LTV1	Component of the GSE complex, which is required for proper sorting of amino acid permease Gap1p; required for ribosomal small subunit export from nucleus; required for growth at low temperature
YKL142W	853715	MRP8	Mrp8p
YKL141W	853716	SDH3	Cytochrome b subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone
YKL140W	853717	TGL1	Steryl ester hydrolase, one of three gene products (Yeh1p, Yeh2p, Tgl1p) responsible for steryl ester hydrolase activity and involved in sterol homeostasis; localized to lipid particle membranes
YKL139W	853718	CTK1	Catalytic (alpha) subunit of C-terminal domain kinase I (CTDK-I), which phosphorylates the C-terminal repeated domain of the RNA polymerase II large subunit (Rpo21p) to affect both transcription and pre-mRNA 3' end processing
YKL138C-A	853719	HSK3	Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis
YKL138C	853720	MRPL31	Mitochondrial ribosomal protein of the large subunit
YKL137W	853721	CMC1	Cmc1p
YKL135C	853723	APL2	Apl2p
YKL134C	853724	OCT1	Mitochondrial intermediate peptidase, cleaves N-terminal residues of a subset of proteins upon import, after their cleavage by mitochondrial processing peptidase (Mas1p-Mas2p); may contribute to mitochondrial iron homeostasis
YKL133C	853725	YKL133C	Putative protein of unknown function
YKL132C	853727	RMA1	Putative dihydrofolate synthetase; has similarity to Fol3p and to E. coli folylpolyglutamate synthetase/dihydrofolate synthetase; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YKL130C	853728	SHE2	RNA-binding protein that binds specific mRNAs and interacts with She3p; part of the mRNA localization machinery that restricts accumulation of certain proteins to the bud
YKL129C	853729	MYO3	Myo3p
YKL128C	853730	PMU1	Pmu1p
TK(CUU)K	853731	TK(CUU)K	tRNA
YKL127W	853732	PGM1	Pgm1p
YKL126W	853733	YPK1	Serine/threonine protein kinase required for receptor-mediated endocytosis; involved in sphingolipid-mediated and cell integrity signaling pathways; localized to the bud neck, cytosol and plasma membrane; homolog of mammalian kinase SGK
YKL125W	853734	RRN3	Protein required for transcription of rDNA by RNA polymerase I; transcription factor independent of DNA template; involved in recruitment of RNA polymerase I to rDNA
YKL124W	853735	SSH4	Ssh4p
YKL122C	853737	SRP21	Srp21p
YKL121W	853738	YKL121W	Putative protein of unknown function
YKL120W	853739	OAC1	Mitochondrial inner membrane transporter, transports oxaloacetate, sulfate, and thiosulfate; member of the mitochondrial carrier family
YKL119C	853741	VPH2	Integral membrane protein required for vacuolar H+-ATPase (V-ATPase) function, although not an actual component of the V-ATPase complex; functions in the assembly of the V-ATPase; localized to the endoplasmic reticulum (ER)
TA(AGC)K1	853742	TA(AGC)K1	tRNA
YKL117W	853743	SBA1	Co-chaperone that binds to and regulates Hsp90 family chaperones; important for pp60v-src activity in yeast; homologous to the mammalian p23 proteins and like p23 can regulate telomerase activity
YKL116C	853744	PRR1	Prr1p
YKL114C	853746	APN1	Apn1p
YKL113C	853747	RAD27	5' to 3' exonuclease, 5' flap endonuclease, required for Okazaki fragment processing and maturation as well as for long-patch base-excision repair; member of the S. pombe RAD2/FEN1 family
YKL112W	853748	ABF1	Abf1p
YKL110C	853750	KTI12	Kti12p
YKL109W	853751	HAP4	Hap4p
YKL108W	853752	SLD2	Protein required for DNA replication, phosphorylated in S phase by S-phase cyclin-dependent kinases (Cdks), phosphorylation is essential for DNA replication and for complex formation with Dpb11p; potential Cdc28p substrate
YKL107W	853753	YKL107W	Putative protein of unknown function
YKL106C-A	853754	YKL106C-A	Putative protein of unknown function; identified by homology to uncharacterized proteins in other fungi
YKL106W	853755	AAT1	Aat1p
YKL105C	853756	YKL105C	Putative protein of unknown function
YKL104C	853757	GFA1	Gfa1p
YKL103C	853758	LAP4	Lap4p
YKL101W	853760	HSL1	Hsl1p
YKL100C	853761	YKL100C	Putative protein of unknown function with similarity to a human minor histocompatibility antigen; YKL100C is not an essential gene
YKL099C	853762	UTP11	Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA
YKL098W	853763	YKL098W	Putative protein of unknown function
YKL096W-A	853765	CWP2	Covalently linked cell wall mannoprotein, major constituent of the cell wall; plays a role in stabilizing the cell wall; involved in low pH resistance; precursor is GPI-anchored
YKL096W	853766	CWP1	Cell wall mannoprotein, linked to a beta-1,3- and beta-1,6-glucan heteropolymer through a phosphodiester bond; involved in cell wall organization
YKL095W	853767	YJU2	Essential protein required for pre-mRNA splicing; associates transiently with the spliceosomal NTC ('nineteen complex') and acts after Prp2p to promote the first catalytic reaction of splicing
YKL094W	853768	YJU3	Serine hydrolase with sequence similarity to monoglyceride lipase (MGL), localizes to lipid particles
YKL093W	853769	MBR1	Mbr1p
YKL092C	853770	BUD2	Bud2p
YKL091C	853771	YKL091C	Putative homolog of Sec14p, which is a phosphatidylinositol/phosphatidylcholine transfer protein involved in lipid metabolism; localizes to the nucleus
YKL090W	853772	CUE2	Cue2p
YKL089W	853773	MIF2	Kinetochore protein with homology to human CENP-C, required for structural integrity of the spindle during anaphase spindle elongation, interacts with histones H2A, H2B, and H4, phosphorylated by Ipl1p
YKL088W	853774	YKL088W	Predicted phosphopantothenoylcysteine decarboxylase, may be involved in coenzyme A biosynthesis; interacts with Sis2p and Vhs3p
YKL087C	853775	CYT2	Cyt2p
YKL086W	853776	SRX1	Srx1p
YKL085W	853777	MDH1	Mdh1p
YKL084W	853778	HOT13	Hot13p
YKL082C	853780	RRP14	Essential protein, constituent of 66S pre-ribosomal particles; interacts with proteins involved in ribosomal biogenesis and cell polarity; member of the SURF-6 family
YKL081W	853781	TEF4	Tef4p
YKL080W	853782	VMA5	Subunit C of the eight-subunit V1 peripheral membrane domain of vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; required for the V1 domain to assemble onto the vacuolar membrane
YKL079W	853783	SMY1	Protein that interacts with Myo2p, proposed to be involved in exocytosis; N-terminal domain is related to the motor domain of kinesins
YKL078W	853784	DHR2	Dhr2p
YKL077W	853785	YKL077W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole
YKL075C	853787	YKL075C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; proposed to be involved in resistance to streptozotocin and camptothecin
YKL074C	853788	MUD2	Mud2p
YKL073W	853789	LHS1	Lhs1p
YKL072W	853790	STB6	Protein that binds Sin3p in a two-hybrid assay
TW(CCA)K	853791	TW(CCA)K	tRNA
YKL071W	853792	YKL071W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
YKL070W	853793	YKL070W	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YKL069W	853794	YKL069W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus
TV(AAC)K1	853795	TV(AAC)K1	tRNA
YKL068W	853796	NUP100	Nup100p
TH(GUG)K	853797	TH(GUG)K	tRNA
YKL067W	853798	YNK1	Nucleoside diphosphate kinase, catalyzes the transfer of gamma phosphates from nucleoside triphosphates, usually ATP, to nucleoside diphosphates by a mechanism that involves formation of an autophosphorylated enzyme intermediate
YKL065C	853800	YET1	Endoplasmic reticulum transmembrane protein; may interact with ribosomes, based on co-purification experiments; homolog of human BAP31 protein
YKL064W	853801	MNR2	Mnr2p
YKL063C	853802	YKL063C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the Golgi
YKL062W	853803	MSN4	Msn4p
YKL061W	853804	YKL061W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endosome
YKL060C	853805	FBA1	Fructose 1,6-bisphosphate aldolase, required for glycolysis and gluconeogenesis; catalyzes conversion of fructose 1,6 bisphosphate to glyceraldehyde-3-P and dihydroxyacetone-P; locates to mitochondrial outer surface upon oxidative stress
